"user_email_hash","model_name","phrase_id","speaker_id","rating"
"e17b9251","Glow-060spk","p013","IS031","3"
"e17b9251","Glow-180spk","p014","IS031","3"
"e17b9251","Tacotron2-060spk","p030","IS038","3"
"e17b9251","Glow-060spk","p048","VP131","1"
"e17b9251","Tacotron2-180spk","p052","VP427","2"
"e17b9251","Tacotron2-060spk","p051","VP427","3"
"e17b9251","Tacotron2-180spk","p045","VP131","2"
"e17b9251","Glow-180spk","p035","MS052","2"
"e17b9251","Glow-180spk","p042","VP131","1"
"e17b9251","Glow-180spk","p028","IS038","2"
"e17b9251","Tacotron2-180spk","p003","AS009","4"
"e17b9251","Tacotron2-030spk","p043","VP131","3"
"e17b9251","Glow-030spk","p012","IS031","3"
"e17b9251","Tacotron2-060spk","p009","AS009","4"
